[2026-04-11T02:42:56.141Z] GET http://localhost:3000/911-map → 200 (131ms, ?B)
[2026-04-11T02:46:30.183Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → 200 (40ms, 296B)
[2026-04-11T02:46:30.183Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → 200 (49ms, 221818B)
[2026-04-11T02:46:30.183Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → 200 (154ms, 2932152B)
[2026-04-11T02:46:30.183Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → 200 (49ms, 149252B)
[2026-04-11T02:46:30.183Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (49ms, 39778B)
[2026-04-11T02:46:30.183Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (54ms, 506B)
[2026-04-11T02:46:30.183Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (55ms, 206B)
[2026-04-11T02:46:30.256Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (23ms, 15433B)
[2026-04-11T02:46:30.257Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (22ms, 288B)
[2026-04-11T02:46:30.295Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:30.296Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:30.466Z] GET http://localhost:3000/api/gta-incidents?window=3 → pending (?ms, ?B)
[2026-04-11T02:46:30.471Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (8ms, ?B)
[2026-04-11T02:46:30.487Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (11ms, 15503B)
[2026-04-11T02:46:38.047Z] GET http://localhost:3000/911-map → 200 (190ms, 37830B)
[2026-04-11T02:46:38.108Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → pending (?ms, ?B)
[2026-04-11T02:46:38.241Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:38.241Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:38.241Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:38.242Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (4ms, 218181B)
[2026-04-11T02:46:38.242Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → 200 (3ms, 43704B)
[2026-04-11T02:46:38.242Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (5ms, 671B)
[2026-04-11T02:46:38.242Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (50ms, 1047866B)
[2026-04-11T02:46:38.242Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (17ms, 171046B)
[2026-04-11T02:46:38.242Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (50ms, 816039B)
[2026-04-11T02:46:38.242Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (17ms, 144411B)
[2026-04-11T02:46:38.242Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → 200 (36ms, 621043B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (18ms, 208383B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (17ms, 1979B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (17ms, 783B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (24ms, 74970B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (24ms, 126668B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → 200 (23ms, 262B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → 200 (29ms, 26946B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → 200 (28ms, 296B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → 200 (34ms, 221855B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → 200 (155ms, 2932152B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → 200 (48ms, 149252B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (48ms, 39778B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (48ms, 506B)
[2026-04-11T02:46:38.243Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (49ms, 206B)
[2026-04-11T02:46:38.296Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (24ms, 15433B)
[2026-04-11T02:46:38.297Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (23ms, 288B)
[2026-04-11T02:46:38.320Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, ?B)
[2026-04-11T02:46:38.321Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:38.478Z] GET http://localhost:3000/api/gta-incidents?window=3 → pending (?ms, ?B)
[2026-04-11T02:46:38.482Z] POST http://localhost:3000/__nextjs_original-stack-frames → pending (?ms, ?B)
[2026-04-11T02:46:38.499Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (5ms, 15503B)
[2026-04-11T02:46:55.347Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (?ms, ?B)
[2026-04-11T02:46:55.347Z] GET http://localhost:3000/911-map → pending (?ms, ?B)
[2026-04-11T02:46:55.525Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (4ms, 218399B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → 200 (4ms, 43704B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (5ms, 671B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (64ms, 1047866B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (26ms, 171046B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (64ms, 816039B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (26ms, 144411B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → 200 (50ms, 621043B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (31ms, 208383B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (27ms, 1979B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (28ms, 783B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (38ms, 74970B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (38ms, 126668B)
[2026-04-11T02:46:55.526Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → 200 (38ms, 262B)
[2026-04-11T02:46:55.527Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → 200 (41ms, 26946B)
[2026-04-11T02:46:55.527Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → 200 (41ms, 296B)
[2026-04-11T02:46:55.527Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → 200 (46ms, 222651B)
[2026-04-11T02:46:55.527Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → 200 (142ms, 2932152B)
[2026-04-11T02:46:55.527Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → 200 (48ms, 149252B)
[2026-04-11T02:46:55.527Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (62ms, 39778B)
[2026-04-11T02:46:55.527Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (62ms, 506B)
[2026-04-11T02:46:55.527Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (62ms, 206B)
[2026-04-11T02:46:55.592Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (22ms, 15433B)
[2026-04-11T02:46:55.592Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (21ms, 288B)
[2026-04-11T02:46:55.624Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:55.624Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:55.749Z] GET http://localhost:3000/api/gta-incidents?window=3 → pending (?ms, ?B)
[2026-04-11T02:46:55.750Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (11ms, 15566B)
[2026-04-11T02:46:55.767Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (8ms, 15503B)
[2026-04-11T02:47:08.508Z] GET http://localhost:3000/911-map → pending (?ms, ?B)
[2026-04-11T02:47:08.569Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → pending (?ms, ?B)
[2026-04-11T02:47:08.715Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → 200 (1ms, ?B)
[2026-04-11T02:47:08.716Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:08.716Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (4ms, 218601B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → 200 (3ms, 43704B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (3ms, 671B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (54ms, 1047866B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (10ms, 171046B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (55ms, 816039B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (19ms, 144411B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → 200 (40ms, 621043B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (20ms, 208383B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (19ms, 1979B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (20ms, 783B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (26ms, 74970B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (28ms, 126668B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → 200 (26ms, 262B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → 200 (33ms, 26946B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → 200 (33ms, 296B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → 200 (38ms, 222651B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → 200 (141ms, 2932152B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → 200 (54ms, 149252B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (54ms, 39778B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (54ms, 506B)
[2026-04-11T02:47:08.718Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (54ms, 206B)
[2026-04-11T02:47:08.776Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (21ms, 15433B)
[2026-04-11T02:47:08.776Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (20ms, 288B)
[2026-04-11T02:47:08.804Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, ?B)
[2026-04-11T02:47:08.809Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:08.941Z] GET http://localhost:3000/api/gta-incidents?window=3 → pending (?ms, ?B)
[2026-04-11T02:47:08.945Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (10ms, 15566B)
[2026-04-11T02:47:08.961Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (9ms, 15503B)
[2026-04-11T02:47:21.542Z] GET http://localhost:3000/911-map → 200 (179ms, 37993B)
[2026-04-11T02:47:21.725Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (3ms, 218601B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → 200 (2ms, 43704B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (2ms, 671B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (62ms, 1047866B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (12ms, 171046B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (62ms, 816039B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (13ms, 144411B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → 200 (49ms, 621043B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (38ms, 208383B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (24ms, 1979B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (20ms, 783B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (38ms, 74970B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (44ms, 126668B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → 200 (44ms, 262B)
[2026-04-11T02:47:21.726Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → 200 (45ms, 26946B)
[2026-04-11T02:47:21.727Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → 200 (47ms, 296B)
[2026-04-11T02:47:21.727Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → 200 (60ms, 222678B)
